,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,10590,39.4588737487793,582130.5270004272
1,2019-01-31,BUY,GOOGL,10642,54.70120620727539,0.2905426025390625
2,2019-02-28,SELL,AAPL,3550,41.9350471496582,148869.70792388916
3,2019-02-28,BUY,GOOGL,2661,55.94171142578125,8.813819885253906
4,2019-03-29,SELL,GOOGL,12525,58.401790618896484,731491.2413215637
5,2019-03-29,BUY,AAPL,16163,45.25637435913086,12.462554931640625
6,2019-04-30,SELL,AAPL,12802,49.06691360473633,628167.0905227661
7,2019-04-30,BUY,GOOGL,9727,64.57591247558594,37.18987274169922
8,2019-05-03,SELL,GOOGL,10505,58.114830017089844,610533.4792022705
9,2019-05-31,BUY,AAPL,14224,42.922245025634766,7.4659576416015625
10,2019-06-28,BUY,AAPL,0,48.08351516723633,7.4659576416015625
11,2019-07-31,BUY,AAPL,0,50.25971603393555,7.4659576416015625
12,2019-08-30,BUY,AAPL,0,50.506248474121094,7.4659576416015625
13,2019-09-30,BUY,AAPL,0,52.876792907714844,7.4659576416015625
14,2019-10-31,BUY,AAPL,0,58.78260040283203,7.4659576416015625
15,2019-11-29,BUY,AAPL,0,64.91655731201172,7.4659576416015625
16,2019-12-31,BUY,GOOGL,0,66.7435531616211,7.4659576416015625
17,2019-12-31,BUY,MSFT,0,150.73251342773438,7.4659576416015625
