,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104015350342,10137.477524280548
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.821259021759033
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49144.19182276726
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7835471630096436
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.40988230705
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.86864304543
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.1659204959869385
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.7187769413
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.88405394554
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.404081106185913
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.09525942802
11,2019-05-31,BUY,NVDA,38293,3.4572556018829346,66088.40649652481
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.636728763580322
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.7565407753
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.6958885192871094
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.879900932312
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.158432960510254
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.287242889404
18,2019-08-30,BUY,NVDA,378,4.154506206512451,27238.883896827698
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.894721031188965
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8768.10904788971
21,2019-09-30,BUY,TSLA,543,16.142000198364258,3.0029401779174805
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.623114585876
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.77295589447
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.5082712173462
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.724915504456
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.56500339508
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,209.94346714019775
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.873459815979
29,2019-12-31,SELL,NVDA,11902,5.783754825592041,70018.12339401245
30,2019-12-31,BUY,CSCO,1731,40.4477424621582,3.0811920166015625
