,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.12863445282
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7203588485717773
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.346693992615
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.81745624542
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.114733695983887
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.6675901413
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.8152499199
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.335277080535889
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.02645540237
11,2019-05-31,BUY,NVDA,38293,3.4572551250457764,66088.35595202446
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.58618426322937
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.70599627495
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.6514918804168701
15,2019-07-31,SELL,NVDA,955,4.360402584075928,4164.835959672928
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.114491701126099
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.24330163002
18,2019-08-30,BUY,NVDA,378,4.154504299163818,27238.840676546097
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.851500749588013
20,2019-09-30,SELL,NVDA,2049,4.27292013168335,8768.064850568771
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.95874285697937
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.57891726494
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.728758573532
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.4655330181122
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.596176862717
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.43626475334
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,187.8197181224823
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7497107982635
29,2019-12-31,SELL,NVDA,11901,5.783753871917725,69990.2045404911
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.85120797157
31,2019-12-31,BUY,CSCO,1731,40.44772720336914,2.835418939590454
