,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NFLX,2935,340.6600036621094,162.88925170898438
1,2019-04-30,SELL,NFLX,2935,371.8299865722656,1091483.8998413086
2,2019-04-30,BUY,MSFT,8885,122.83694458007812,77.64724731445312
3,2019-05-31,SELL,MSFT,8885,119.45332336425781,1061420.4253387451
4,2019-05-31,BUY,CSCO,23637,44.90461730957031,9.985992431640625
5,2019-06-28,SELL,CSCO,23637,46.71522521972656,1104217.7645111084
6,2019-06-28,BUY,MSFT,8663,127.45295715332031,92.79669189453125
7,2019-07-31,SELL,MSFT,8663,133.34349060058594,1155247.4557647705
8,2019-07-31,BUY,CSCO,24252,47.63425064086914,21.609222412109375
9,2019-08-15,SELL,CSCO,24252,42.6911506652832,1035367.3951568604
10,2019-08-30,BUY,MSFT,7863,131.66177368164062,110.86869812011719
11,2019-11-29,SELL,MSFT,7863,145.6918487548828,1145685.8754577637
12,2019-11-29,BUY,AAPL,17648,64.91655731201172,38.472015380859375
