,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-01,BUY,AAPL,3715,37.66562271118164,860072.2116279602
1,2019-01-01,BUY,MSFT,815,95.73468780517578,782048.441066742
2,2019-01-01,BUY,TSLA,20670,22.18666648864746,323450.0447463989
3,2019-01-01,BUY,WMT,11452,28.2351016998291,101.66007995605469
4,2019-01-23,SELL,TSLA,20670,19.92799949645996,412013.40967178345
5,2019-01-31,SELL,AAPL,1732,39.45887756347656,480356.18561172485
6,2019-01-31,SELL,WMT,1199,28.735244750976562,514809.74406814575
7,2019-01-31,BUY,MSFT,6,100.26834106445312,514208.13402175903
8,2019-01-31,BUY,SNAP,37443,6.570000171661377,268207.6175942421
9,2019-01-31,BUY,TSLA,13029,20.584667205810547,9.988569736480713
10,2019-02-28,SELL,AAPL,186,41.93505859375,7809.909468173981
11,2019-02-28,SELL,MSFT,138,106.17723846435547,22462.368376255035
12,2019-02-28,SELL,SNAP,6560,9.8100004196167,86815.97112894058
13,2019-02-28,BUY,TSLA,1016,20.982667922973633,65497.58051919937
14,2019-02-28,BUY,WMT,2202,29.738554000854492,13.284609317779541
15,2019-03-06,SELL,TSLA,14045,18.43600082397461,258946.91618204117
16,2019-03-29,SELL,AAPL,114,45.256378173828125,264106.1432938576
17,2019-03-29,SELL,MSFT,125,110.68293762207031,277941.51049661636
18,2019-03-29,SELL,SNAP,2747,10.789999961853027,307581.64039182663
19,2019-03-29,SELL,WMT,905,29.599912643432617,334369.56133413315
20,2019-03-29,BUY,TSLA,18001,18.57466697692871,6.981082439422607
21,2019-04-26,SELL,TSLA,18001,16.5086669921875,297179.4956088066
22,2019-04-30,BUY,AAPL,1119,49.06691360473633,242273.61928510666
23,2019-04-30,BUY,MSFT,156,122.8369369506836,223111.05712080002
24,2019-04-30,BUY,SNAP,7459,11.220000267028809,139421.07512903214
25,2019-04-30,BUY,WMT,4500,30.949934005737305,146.37210321426392
26,2019-05-21,SELL,AAPL,2802,44.075340270996094,123645.47554254532
27,2019-05-31,SELL,MSFT,53,119.45333099365234,129976.5020852089
28,2019-05-31,SELL,SNAP,4252,11.989999771118164,180957.98111200333
29,2019-05-31,BUY,AAPL,3572,42.92226028442383,27639.667376041412
30,2019-05-31,BUY,WMT,882,31.307350158691406,26.58453607559204
31,2019-06-28,SELL,SNAP,5746,14.579999923706055,83803.26409769058
32,2019-06-28,BUY,AAPL,1211,48.083518981933594,25574.122610569
33,2019-06-28,BUY,MSFT,56,127.45298767089844,18436.755300998688
34,2019-06-28,BUY,WMT,544,33.7307014465332,87.25371408462524
35,2019-07-31,SELL,SNAP,3993,16.93000030517578,67688.74493265152
36,2019-07-31,BUY,AAPL,1155,50.25971603393555,9638.772913455963
37,2019-07-31,BUY,MSFT,33,133.34347534179688,5238.438227176666
38,2019-07-31,BUY,WMT,149,34.3311767578125,123.09289026260376
39,2019-08-30,SELL,WMT,783,35.12207794189453,27623.67991876602
40,2019-08-30,BUY,AAPL,409,50.506248474121094,6966.624292850494
41,2019-08-30,BUY,MSFT,3,131.66175842285156,6571.63901758194
42,2019-08-30,BUY,SNAP,413,15.779999732971191,54.49912786483765
43,2019-09-30,SELL,WMT,902,36.46747589111328,32948.16238164902
44,2019-09-30,BUY,AAPL,44,52.876800537109375,30621.583158016205
45,2019-09-30,BUY,MSFT,71,131.2899932861328,21299.993634700775
46,2019-09-30,BUY,SNAP,1325,16.020000457763672,73.49302816390991
47,2019-10-04,SELL,SNAP,23342,14.300000190734863,333864.0974802971
48,2019-10-31,SELL,AAPL,1423,58.78260040283203,417511.73785352707
49,2019-10-31,SELL,WMT,393,36.35972213745117,431801.1086535454
50,2019-10-31,BUY,MSFT,15,137.8483123779297,429733.38396787643
51,2019-10-31,BUY,SNAP,28912,14.859999656677246,101.07389402389526
52,2019-11-29,SELL,AAPL,1110,64.91653442382812,72158.42710447311
53,2019-11-29,SELL,MSFT,11,145.69189453125,73761.03794431686
54,2019-11-29,BUY,SNAP,4110,15.350000381469727,10672.536376476288
55,2019-11-29,BUY,WMT,291,36.56291580200195,32.72787809371948
56,2019-12-31,SELL,AAPL,2236,70.65589141845703,158019.30108976364
57,2019-12-31,SELL,MSFT,356,150.7325439453125,211680.0867342949
58,2019-12-31,SELL,SNAP,6253,15.890000343322754,311040.2588810921
59,2019-12-31,SELL,WMT,6120,36.92483901977539,537020.2736821175
60,2019-12-31,BUY,TSLA,19424,27.64666748046875,11.404541492462158
