,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,513,39.45888137817383,979757.5938529968
1,2019-01-31,BUY,MSFT,343,100.2683334350586,945365.5554847717
2,2019-01-31,BUY,SNAP,33043,6.570000171661377,728273.0398125648
3,2019-01-31,BUY,TSLA,12290,20.584667205810547,475287.4798531532
4,2019-01-31,BUY,WMT,16539,28.73524284362793,35.29846239089966
5,2019-02-28,SELL,AAPL,513,41.93505096435547,21547.979607105255
6,2019-02-28,SELL,MSFT,342,106.17723083496094,57860.592552661896
7,2019-02-28,SELL,SNAP,3023,9.8100004196167,87516.22382116318
8,2019-02-28,SELL,TSLA,1931,20.982667922973633,128033.75558042526
9,2019-02-28,BUY,WMT,4305,29.738548278808594,9.305240154266357
10,2019-03-29,SELL,SNAP,137,10.789999961853027,1487.535234928131
11,2019-03-29,SELL,WMT,2632,29.599916458129883,79394.51535272598
12,2019-03-29,BUY,TSLA,4274,18.57466697692871,6.388693332672119
13,2019-04-30,SELL,MSFT,1,122.83692169189453,129.22561502456665
14,2019-04-30,SELL,SNAP,3163,11.220000267028809,35618.08645963669
15,2019-04-30,SELL,WMT,2373,30.949939727783203,109062.29343366623
16,2019-04-30,BUY,TSLA,6774,16.097999572753906,14.44432783126831
17,2019-05-31,SELL,SNAP,6161,11.989999771118164,73884.83291769028
18,2019-05-31,BUY,TSLA,3285,12.54800033569336,32664.65181493759
19,2019-05-31,BUY,WMT,1043,31.307350158691406,11.085599422454834
20,2019-06-28,SELL,SNAP,3696,14.579999923706055,53898.76531744003
21,2019-06-28,BUY,AAPL,143,48.08350372314453,47022.824285030365
22,2019-06-28,BUY,TSLA,2994,14.855999946594238,2543.9604449272156
23,2019-06-28,BUY,WMT,74,33.7307014465332,47.888537883758545
24,2019-07-31,SELL,SNAP,8952,16.93000030517578,151605.25126981735
25,2019-07-31,BUY,AAPL,474,50.25971603393555,127782.1458697319
26,2019-07-31,BUY,TSLA,3681,16.150667190551758,68331.53994131088
27,2019-07-31,BUY,WMT,1989,34.33116912841797,46.844544887542725
28,2019-08-30,SELL,WMT,6543,35.12206268310547,229850.50068044662
29,2019-08-30,BUY,AAPL,142,50.506248474121094,222678.61339712143
30,2019-08-30,BUY,SNAP,7368,15.779999732971191,106411.57536458969
31,2019-08-30,BUY,TSLA,7198,14.780667304992676,20.33210325241089
32,2019-09-30,SELL,AAPL,680,52.876792907714844,35976.551280498505
33,2019-09-30,SELL,WMT,3087,36.46747970581055,148551.66113233566
34,2019-09-30,BUY,SNAP,6274,16.020000457763672,48042.178260326385
35,2019-09-30,BUY,TSLA,2976,16.142000198364258,3.585669994354248
36,2019-10-31,SELL,AAPL,78,58.782596588134766,4588.628203868866
37,2019-10-31,SELL,TSLA,1439,21.000667572021484,34808.58884000778
38,2019-10-31,SELL,WMT,9081,36.35972213745117,364991.2255702019
39,2019-10-31,BUY,SNAP,24561,14.859999656677246,14.77400255203247
40,2019-11-29,SELL,AAPL,1,64.91654968261719,79.69055223464966
41,2019-11-29,SELL,TSLA,631,22.086000442504883,14015.95683145523
42,2019-11-29,SELL,WMT,234,36.562904357910156,22571.676451206207
43,2019-11-29,BUY,SNAP,1470,15.350000381469727,7.1758904457092285
44,2019-12-31,SELL,TSLA,9891,27.64666748046875,273460.3639397621
45,2019-12-31,BUY,SNAP,17209,15.890000343322754,9.348031520843506
