,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,7765,39.45886993408203,693601.874961853
1,2019-01-31,BUY,GOOGL,7306,54.70120620727539,293954.862411499
2,2019-01-31,BUY,TSLA,14277,20.584667205810547,67.5687141418457
3,2019-02-28,SELL,AAPL,7765,41.93505096435547,325693.23945236206
4,2019-02-28,BUY,GOOGL,921,55.94171142578125,274170.92322921753
5,2019-02-28,BUY,TSLA,13065,20.982667922973633,32.3668155670166
6,2019-03-29,SELL,GOOGL,2827,58.401790618896484,165134.22889518738
7,2019-03-29,BUY,AAPL,971,45.256378173828125,121190.28568840027
8,2019-03-29,BUY,TSLA,6524,18.57466697692871,9.158330917358398
9,2019-04-30,SELL,AAPL,971,49.06691360473633,47653.13144111633
10,2019-04-30,SELL,GOOGL,473,64.57591247558594,78197.53804206848
11,2019-04-30,BUY,TSLA,4857,16.097999572753906,9.554117202758789
12,2019-05-23,SELL,TSLA,38723,12.84866714477539,497548.4919643402
13,2019-05-31,SELL,GOOGL,1899,55.86797332763672,603641.7733135223
14,2019-05-31,BUY,AAPL,3414,42.922245025634766,457105.22879600525
15,2019-05-31,BUY,TSLA,36428,12.54800033569336,6.672567367553711
16,2019-06-28,SELL,GOOGL,3028,53.637062072753906,162419.69652366638
17,2019-06-28,SELL,TSLA,592,14.855999946594238,171214.44849205017
18,2019-06-28,BUY,AAPL,3560,48.08351516723633,37.13449668884277
19,2019-07-31,SELL,AAPL,271,50.25971603393555,13657.517541885376
20,2019-07-31,BUY,TSLA,845,16.150667190551758,10.203765869140625
21,2019-08-30,SELL,AAPL,473,50.506248474121094,23899.659294128418
22,2019-08-30,BUY,TSLA,1616,14.780667304992676,14.100929260253906
23,2019-09-30,SELL,AAPL,401,52.876792907714844,21217.694885253906
24,2019-09-30,BUY,TSLA,1314,16.142000198364258,7.106624603271484
25,2019-10-31,SELL,AAPL,2947,58.78260040283203,173239.43001174927
26,2019-10-31,SELL,TSLA,3559,21.000667572021484,247980.80590057373
27,2019-10-31,BUY,GOOGL,3948,62.807315826416016,17.52301788330078
28,2019-11-29,SELL,AAPL,2881,64.91654205322266,187042.08067321777
29,2019-11-29,SELL,TSLA,1932,22.086000442504883,229712.2335281372
30,2019-11-29,BUY,GOOGL,3514,65.3695297241211,3.7060775756835938
31,2019-12-31,SELL,AAPL,1,70.6558837890625,74.3619613647461
32,2019-12-31,SELL,TSLA,2185,27.64666748046875,60482.330406188965
33,2019-12-31,BUY,GOOGL,906,66.7435531616211,12.671241760253906
