,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,CSCO,4238,38.90794372558594,835108.1344909668
1,2019-01-31,BUY,INTC,927,40.913936614990234,797180.9152488708
2,2019-01-31,BUY,NVDA,162126,3.407104730606079,244800.65369462967
3,2019-01-31,BUY,TSLA,11890,20.584667205810547,48.960617542266846
4,2019-02-28,SELL,NVDA,18959,3.8539786338806152,73116.54153728485
5,2019-02-28,BUY,CSCO,956,42.97282409667969,32034.52170085907
6,2019-02-28,BUY,INTC,508,46.10991287231445,8610.685961723328
7,2019-02-28,BUY,TSLA,407,20.982667922973633,70.74011707305908
8,2019-03-06,SELL,TSLA,12297,18.43600082397461,226778.24224948883
9,2019-03-29,SELL,CSCO,439,44.447166442871094,246290.54831790924
10,2019-03-29,SELL,INTC,289,45.997314453125,259583.77219486237
11,2019-03-29,SELL,NVDA,9880,4.4001145362854,303056.9038133621
12,2019-03-29,BUY,TSLA,16315,18.57466697692871,11.212084770202637
13,2019-04-26,SELL,TSLA,16315,16.5086669921875,269350.11406230927
14,2019-04-30,SELL,CSCO,514,47.05052947998047,293534.0862150192
15,2019-04-30,SELL,INTC,832,44.265167236328125,330362.7053556442
16,2019-04-30,SELL,NVDA,2100,4.451748847961426,339711.3779363632
17,2019-04-30,BUY,TSLA,21102,16.097999572753906,11.390952110290527
18,2019-05-10,SELL,INTC,314,40.623756408691406,12767.250464439392
19,2019-05-18,SELL,TSLA,21102,14.0686674118042,309644.2701883316
20,2019-05-31,BUY,CSCO,316,44.90460968017578,295454.41352939606
21,2019-05-31,BUY,NVDA,12517,3.4572553634643555,252179.94814491272
22,2019-05-31,BUY,TSLA,20096,12.54800033569336,15.333398818969727
23,2019-06-28,SELL,TSLA,2275,14.855999946594238,33812.73327732086
24,2019-06-28,BUY,CSCO,491,46.715232849121094,10875.553948402405
25,2019-06-28,BUY,NVDA,2680,4.05670166015625,3.593499183654785
26,2019-07-31,SELL,CSCO,10,47.634246826171875,479.93596744537354
27,2019-07-31,SELL,TSLA,219,16.150667190551758,4016.9320821762085
28,2019-07-31,BUY,NVDA,921,4.360401153564453,1.002619743347168
29,2019-08-06,SELL,NVDA,147305,3.7475342750549316,552031.53900671
30,2019-08-16,SELL,CSCO,5038,39.01335144042969,748580.8035635948
31,2019-08-30,SELL,TSLA,1996,14.780667304992676,778083.0155043602
32,2019-08-30,BUY,CSCO,2618,39.87376403808594,673693.5012526512
33,2019-08-30,BUY,MSFT,225,131.66172790527344,644069.6124739647
34,2019-08-30,BUY,NVDA,154994,4.154504776000977,146.29922246932983
35,2019-09-30,SELL,CSCO,1381,41.19810104370117,57040.87676382065
36,2019-09-30,SELL,MSFT,98,131.2899627685547,69907.29311513901
37,2019-09-30,SELL,TSLA,7334,16.142000198364258,188292.72256994247
38,2019-09-30,BUY,NVDA,44066,4.272921085357666,2.1820225715637207
39,2019-10-31,SELL,CSCO,1236,40.42225646972656,49964.091019153595
40,2019-10-31,SELL,MSFT,126,137.84828186035156,67332.97453355789
41,2019-10-31,SELL,TSLA,6431,21.000667572021484,202388.26768922806
42,2019-10-31,BUY,NFLX,3,291.45001220703125,201513.91765260696
43,2019-10-31,BUY,NVDA,39895,5.050086498260498,40.71680450439453
44,2019-11-29,SELL,TSLA,1124,22.086000442504883,24865.381301879883
45,2019-11-29,BUY,NFLX,6,315.92999267578125,22969.801345825195
46,2019-11-29,BUY,NVDA,4227,5.43322229385376,3.570709705352783
47,2019-12-31,SELL,MSFT,1,150.73255920410156,154.30326890945435
48,2019-12-31,SELL,NVDA,7306,5.783753871917725,42410.40905714035
49,2019-12-31,SELL,TSLA,716,27.64666748046875,62205.422973155975
50,2019-12-31,BUY,CSCO,1466,40.44773864746094,2909.038115978241
51,2019-12-31,BUY,NFLX,8,323.30999755859375,322.55813550949097
