,Date,Action,Ticker,Quantity,Price,Cash
0,2018-12-31,BUY,NFLX,3905,256.0799865722656,7.652435302734375
1,2019-04-30,SELL,NFLX,3905,371.8299865722656,1452003.75
2,2019-04-30,BUY,MSFT,11820,122.83692932128906,71.24542236328125
3,2019-05-31,SELL,MSFT,11820,119.45330810546875,1412009.347229004
4,2019-05-31,BUY,CSCO,31444,44.90462112426758,28.440597534179688
5,2019-06-28,SELL,CSCO,31444,46.7152214050293,1468941.8624572754
6,2019-06-28,BUY,MSFT,11525,127.45297241210938,46.35540771484375
7,2019-07-31,SELL,MSFT,11525,133.34344482421875,1536829.557006836
8,2019-07-31,BUY,CSCO,32263,47.634246826171875,5.851654052734375
9,2019-08-15,SELL,CSCO,32263,42.69115447998047,1377350.5686416626
10,2019-08-30,BUY,MSFT,10461,131.66175842285156,36.913780212402344
11,2019-11-29,SELL,MSFT,10461,145.69183349609375,1524119.1839828491
12,2019-11-29,BUY,AAPL,23478,64.91654968261719,8.430534362792969
