,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,513,39.45887756347656,979757.5958099365
1,2019-01-31,BUY,MSFT,343,100.26836395263672,945365.5469741821
2,2019-01-31,BUY,SNAP,33043,6.570000171661377,728273.0313019753
3,2019-01-31,BUY,TSLA,12290,20.584667205810547,475287.47134256363
4,2019-01-31,BUY,WMT,16539,28.73524284362793,35.28995180130005
5,2019-02-28,SELL,AAPL,512,41.935054779052734,21506.0379986763
6,2019-02-28,SELL,MSFT,343,106.17723846435547,57924.830791950226
7,2019-02-28,SELL,SNAP,3023,9.8100004196167,87580.46206045151
8,2019-02-28,SELL,TSLA,1931,20.982667922973633,128097.99381971359
9,2019-02-28,BUY,WMT,4307,29.738550186157227,14.058167934417725
10,2019-03-29,SELL,SNAP,137,10.789999961853027,1492.2881627082825
11,2019-03-29,SELL,WMT,2634,29.599916458129883,79458.4681134224
12,2019-03-29,BUY,TSLA,4277,18.57466697692871,14.61745309829712
13,2019-04-30,SELL,AAPL,1,49.066917419433594,63.68437051773071
14,2019-04-30,SELL,SNAP,3163,11.220000267028809,35552.54521512985
15,2019-04-30,SELL,WMT,2373,30.949934005737305,108996.73861074448
16,2019-04-30,BUY,TSLA,6770,16.097999572753906,13.281503200531006
17,2019-05-31,SELL,SNAP,6161,11.989999771118164,73883.67009305954
18,2019-05-31,BUY,TSLA,3286,12.54800033569336,32650.94098997116
19,2019-05-31,BUY,WMT,1042,31.30735206604004,28.680137157440186
20,2019-06-28,SELL,SNAP,3696,14.579999923706055,53916.35985517502
21,2019-06-28,BUY,AAPL,143,48.08350372314453,47040.41882276535
22,2019-06-28,BUY,TSLA,2994,14.855999946594238,2561.554982662201
23,2019-06-28,BUY,WMT,75,33.73069763183594,31.752660274505615
24,2019-07-31,SELL,SNAP,8952,16.93000030517578,151589.1153922081
25,2019-07-31,BUY,AAPL,474,50.25971603393555,127766.00999212265
26,2019-07-31,BUY,TSLA,3680,16.150667190551758,68331.55473089218
27,2019-07-31,BUY,WMT,1989,34.33116912841797,46.85933446884155
28,2019-08-30,SELL,WMT,6543,35.122074127197266,229850.59034872055
29,2019-08-30,BUY,AAPL,142,50.506256103515625,222678.70198202133
30,2019-08-30,BUY,SNAP,7368,15.779999732971191,106411.6639494896
31,2019-08-30,BUY,TSLA,7198,14.780667304992676,20.420688152313232
32,2019-09-30,SELL,AAPL,680,52.87678909301758,35976.637271404266
33,2019-09-30,SELL,WMT,3087,36.467472076416016,148551.7235713005
34,2019-09-30,BUY,SNAP,6274,16.020000457763672,48042.24069929123
35,2019-09-30,BUY,TSLA,2976,16.142000198364258,3.648108959197998
36,2019-10-31,SELL,AAPL,78,58.7825927734375,4588.690345287323
37,2019-10-31,SELL,TSLA,1439,21.000667572021484,34808.65098142624
38,2019-10-31,SELL,WMT,9081,36.359710693359375,364991.1837878227
39,2019-10-31,BUY,SNAP,24561,14.859999656677246,14.73222017288208
40,2019-11-29,SELL,AAPL,1,64.91654205322266,79.64876222610474
41,2019-11-29,SELL,TSLA,631,22.086000442504883,14015.915041446686
42,2019-11-29,SELL,WMT,233,36.56290817260742,22535.072645664215
43,2019-11-29,BUY,SNAP,1468,15.350000381469727,1.2720856666564941
44,2019-12-31,SELL,TSLA,9891,27.64666748046875,273454.46013498306
45,2019-12-31,BUY,SNAP,17209,15.890000343322754,3.4442267417907715
