,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539791107177734,49144.131674051285
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.723398447036743
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.34973359108
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.8204958439
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.1177732944488525
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.67062973976
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.81828951836
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.338316679000854
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.02949500084
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.34986186028
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.5800940990448
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.69990611076
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.6454017162322998
15,2019-07-31,SELL,NVDA,955,4.360402584075928,4164.829869508743
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.108401536941528
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.237211465836
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.83422589302
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.84505009651184
20,2019-09-30,SELL,NVDA,2049,4.272921562194824,8768.061331033707
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.955223321914673
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.575397729874
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.725239038467
24,2019-10-31,BUY,NVDA,3060,5.050086975097656,270.4590952396393
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.589739084244
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.42982697487
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,187.8132803440094
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7432730197906
29,2019-12-31,SELL,NVDA,11901,5.783753395080566,69990.19242787361
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.83909535408
31,2019-12-31,BUY,CSCO,1731,40.44773864746094,2.8034965991973877
