,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,511,39.4588737487793,979836.5155143738
1,2019-01-31,BUY,MSFT,345,100.26834869384766,945243.9352149963
2,2019-01-31,BUY,SNAP,33079,6.570000171661377,727914.8995366096
3,2019-01-31,BUY,TSLA,12280,20.584667205810547,475135.18624925613
4,2019-01-31,BUY,WMT,16533,28.735246658325195,55.35324716567993
5,2019-02-28,SELL,SNAP,7180,9.8100004196167,70491.15626001358
6,2019-02-28,SELL,TSLA,1150,20.982667922973633,94621.22437143326
7,2019-02-28,BUY,AAPL,150,41.93504333496094,88330.96787118912
8,2019-02-28,BUY,WMT,2970,29.738554000854492,7.462488651275635
9,2019-03-06,SELL,TSLA,11130,18.43600082397461,205200.15165948868
10,2019-03-29,SELL,AAPL,31,45.256378173828125,206603.09938287735
11,2019-03-29,BUY,SNAP,472,10.789999961853027,201510.21940088272
12,2019-03-29,BUY,TSLA,10848,18.57466697692871,12.232035160064697
13,2019-03-29,BUY,WMT,0,29.599918365478516,12.232035160064697
14,2019-04-26,SELL,TSLA,10848,16.5086669921875,179098.25156641006
15,2019-04-30,SELL,AAPL,262,49.0669059753418,191953.78093194962
16,2019-04-30,BUY,SNAP,3537,11.220000267028809,152268.63998746872
17,2019-04-30,BUY,TSLA,9458,16.097999572753906,13.76002836227417
18,2019-04-30,BUY,WMT,0,30.949935913085938,13.76002836227417
19,2019-05-18,SELL,TSLA,9458,14.0686674118042,133075.2164092064
20,2019-05-31,SELL,AAPL,295,42.92224884033203,145737.27981710434
21,2019-05-31,SELL,SNAP,4343,11.989999771118164,197809.84882307053
22,2019-05-31,BUY,TSLA,15764,12.54800033569336,3.1715312004089355
23,2019-05-31,BUY,WMT,0,31.30735206604004,3.1715312004089355
24,2019-06-28,SELL,SNAP,3077,14.579999923706055,44865.83129644394
25,2019-06-28,BUY,AAPL,295,48.0835075378418,30681.19657278061
26,2019-06-28,BUY,TSLA,1886,14.855999946594238,2662.7806735038757
27,2019-06-28,BUY,WMT,78,33.7307014465332,31.78596067428589
28,2019-07-31,SELL,SNAP,2756,16.93000030517578,46690.86680173874
29,2019-07-31,SELL,TSLA,2123,16.150667190551758,80978.73324728012
30,2019-07-31,BUY,AAPL,349,50.259708404541016,63438.09501409531
31,2019-07-31,BUY,WMT,1847,34.3311767578125,28.411542415618896
32,2019-08-30,SELL,WMT,1420,35.122074127197266,49901.756803035736
33,2019-08-30,BUY,AAPL,298,50.50625228881836,34850.893620967865
34,2019-08-30,BUY,SNAP,2208,15.779999732971191,8.654210567474365
35,2019-08-30,BUY,TSLA,0,14.780667304992676,8.654210567474365
36,2019-09-30,SELL,AAPL,376,52.87678909301758,19890.326909542084
37,2019-09-30,SELL,WMT,3624,36.46746826171875,152048.43189001083
38,2019-09-30,BUY,SNAP,9491,16.020000457763672,2.6075453758239746
39,2019-09-30,BUY,TSLA,0,16.142000198364258,2.6075453758239746
40,2019-10-04,SELL,SNAP,31431,14.300000190734863,449465.9135403633
41,2019-10-31,SELL,WMT,346,36.359710693359375,462046.37344026566
42,2019-10-31,BUY,SNAP,31093,14.859999656677246,4.404115200042725
43,2019-10-31,BUY,TSLA,0,21.000667572021484,4.404115200042725
44,2019-11-29,BUY,SNAP,0,15.350000381469727,4.404115200042725
45,2019-11-29,BUY,TSLA,0,22.086000442504883,4.404115200042725
46,2019-11-29,BUY,WMT,0,36.56290817260742,4.404115200042725
47,2019-12-31,SELL,TSLA,1880,27.64666748046875,51980.13897848129
48,2019-12-31,BUY,SNAP,3271,15.890000343322754,3.9478554725646973
49,2019-12-31,BUY,WMT,0,36.92483139038086,3.9478554725646973
