,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,7765,39.45886993408203,693601.874961853
1,2019-01-31,BUY,GOOGL,7306,54.70120620727539,293954.862411499
2,2019-01-31,BUY,TSLA,14277,20.584667205810547,67.5687141418457
3,2019-02-28,SELL,AAPL,7765,41.93505096435547,325693.23945236206
4,2019-02-28,BUY,GOOGL,921,55.94171142578125,274170.92322921753
5,2019-02-28,BUY,TSLA,13065,20.982667922973633,32.3668155670166
6,2019-03-06,SELL,TSLA,27342,18.43600082397461,504109.5013446808
7,2019-03-29,SELL,GOOGL,2848,58.401790618896484,670437.801027298
8,2019-03-29,BUY,AAPL,967,45.256378173828125,626674.8833332062
9,2019-03-29,BUY,TSLA,33738,18.57466697692871,2.7688655853271484
10,2019-04-26,SELL,TSLA,33738,16.5086669921875,556972.1758480072
11,2019-04-30,SELL,AAPL,967,49.06691360473633,604419.8813037872
12,2019-04-30,SELL,GOOGL,398,64.57591247558594,630121.0944690704
13,2019-04-30,BUY,TSLA,39142,16.097999572753906,13.195192337036133
14,2019-05-18,SELL,TSLA,39142,14.0686674118042,550688.975025177
15,2019-05-31,SELL,GOOGL,1733,55.86797332763672,647508.1728019714
16,2019-05-31,BUY,AAPL,3662,42.922245025634766,490326.9115180969
17,2019-05-31,BUY,TSLA,39076,12.54800033569336,1.2504005432128906
18,2019-06-28,SELL,GOOGL,3248,53.637062072753906,174214.4280128479
19,2019-06-28,SELL,TSLA,636,14.855999946594238,183662.84397888184
20,2019-06-28,BUY,AAPL,3819,48.08351516723633,31.899555206298828
21,2019-07-31,SELL,AAPL,291,50.25971603393555,14657.476921081543
22,2019-07-31,BUY,TSLA,907,16.150667190551758,8.821779251098633
23,2019-08-16,SELL,TSLA,39347,14.37600040435791,565661.3096895218
24,2019-08-30,SELL,AAPL,620,50.506248474121094,596975.1837434769
25,2019-08-30,BUY,TSLA,40388,14.780667304992676,13.592629432678223
26,2019-09-30,SELL,AAPL,423,52.876792907714844,22380.476029396057
27,2019-09-30,BUY,TSLA,1386,16.142000198364258,7.663754463195801
28,2019-10-31,SELL,AAPL,3108,58.78260040283203,182703.98580646515
29,2019-10-31,SELL,TSLA,3754,21.000667572021484,261540.4918718338
30,2019-10-31,BUY,GOOGL,4164,62.807315826416016,10.828770637512207
31,2019-11-29,SELL,AAPL,3038,64.91654205322266,197227.28352832794
32,2019-11-29,SELL,TSLA,2037,22.086000442504883,242216.4664297104
33,2019-11-29,BUY,GOOGL,3705,65.3695297241211,22.35880184173584
34,2019-12-31,SELL,AAPL,1,70.6558837890625,93.01468563079834
35,2019-12-31,SELL,TSLA,2304,27.64666748046875,63790.9365606308
36,2019-12-31,BUY,GOOGL,955,66.7435531616211,50.84329128265381
