,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49144.12255525589
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7142796516418457
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.340614795685
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.79937553406
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.096652984619141
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.64950942993
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.7883605957
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.308387756347656
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.9995660782
11,2019-05-31,BUY,NVDA,38293,3.4572556018829346,66088.31080317497
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.541035413742065
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.66084742546
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.6001951694488525
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.783296823502
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.061828851699829
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.190638780594
18,2019-08-30,BUY,NVDA,378,4.15450382232666,27238.788193941116
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.799018144607544
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8768.014322042465
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.9082143306732178
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.528388738632
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.678230047226
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.41354537010193
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.63018965721
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.470277547836
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,209.8512361049652
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.7812287807465
29,2019-12-31,SELL,NVDA,11902,5.783752918243408,70018.00846171379
30,2019-12-31,BUY,CSCO,1731,40.4477424621582,2.966259717941284
