,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,513,39.45887756347656,979757.5958099365
1,2019-01-31,BUY,MSFT,343,100.26834106445312,945365.5548248291
2,2019-01-31,BUY,SNAP,33043,6.570000171661377,728273.0391526222
3,2019-01-31,BUY,TSLA,12290,20.584667205810547,475287.4791932106
4,2019-01-31,BUY,WMT,16539,28.735244750976562,35.26625680923462
5,2019-02-28,SELL,AAPL,512,41.93505096435547,21506.012350559235
6,2019-02-28,SELL,MSFT,343,106.17723083496094,57924.802526950836
7,2019-02-28,SELL,SNAP,3023,9.8100004196167,87580.43379545212
8,2019-02-28,SELL,TSLA,1931,20.982667922973633,128097.9655547142
9,2019-02-28,BUY,WMT,4307,29.738548278808594,14.0381178855896
10,2019-03-29,SELL,SNAP,137,10.789999961853027,1492.2681126594543
11,2019-03-29,SELL,WMT,2634,29.599910736083984,79458.43299150467
12,2019-03-29,BUY,TSLA,4277,18.57466697692871,14.58233118057251
13,2019-04-30,SELL,AAPL,1,49.0669059753418,63.64923715591431
14,2019-04-30,SELL,SNAP,3163,11.220000267028809,35552.510081768036
15,2019-04-30,SELL,WMT,2373,30.949939727783203,108996.71705579758
16,2019-04-30,BUY,TSLA,6770,16.097999572753906,13.259948253631592
17,2019-05-31,SELL,SNAP,6161,11.989999771118164,73883.64853811264
18,2019-05-31,BUY,TSLA,3286,12.54800033569336,32650.91943502426
19,2019-05-31,BUY,WMT,1042,31.307350158691406,28.660569667816162
20,2019-06-28,SELL,SNAP,3696,14.579999923706055,53916.340287685394
21,2019-06-28,BUY,AAPL,143,48.0835075378418,47040.39870977402
22,2019-06-28,BUY,TSLA,2994,14.855999946594238,2561.534869670868
23,2019-06-28,BUY,WMT,75,33.7307014465332,31.732261180877686
24,2019-07-31,SELL,SNAP,8952,16.93000030517578,151589.09499311447
25,2019-07-31,BUY,AAPL,474,50.25971984863281,127765.98778486252
26,2019-07-31,BUY,TSLA,3680,16.150667190551758,68331.53252363205
27,2019-07-31,BUY,WMT,1989,34.33116912841797,46.83712720870972
28,2019-08-30,SELL,WMT,6543,35.12207794189453,229850.59310102463
29,2019-08-30,BUY,AAPL,142,50.50625228881836,222678.70527601242
30,2019-08-30,BUY,SNAP,7368,15.779999732971191,106411.66724348068
31,2019-08-30,BUY,TSLA,7198,14.780667304992676,20.4239821434021
32,2019-09-30,SELL,AAPL,680,52.87678909301758,35976.640565395355
33,2019-09-30,SELL,WMT,3087,36.467472076416016,148551.7268652916
34,2019-09-30,BUY,SNAP,6274,16.020000457763672,48042.24399328232
35,2019-09-30,BUY,TSLA,2976,16.142000198364258,3.6514029502868652
36,2019-10-31,SELL,AAPL,79,58.78260040283203,4647.476834774017
37,2019-10-31,SELL,TSLA,1439,21.000667572021484,34867.43747091293
38,2019-10-31,SELL,WMT,9081,36.359718322753906,365050.03955984116
39,2019-10-31,BUY,SNAP,24565,14.859999656677246,14.147993564605713
40,2019-11-29,SELL,TSLA,631,22.086000442504883,13950.414272785187
41,2019-11-29,SELL,WMT,233,36.562904357910156,22469.570988178253
42,2019-11-29,BUY,SNAP,1463,15.350000381469727,12.520430088043213
43,2019-12-31,SELL,TSLA,9891,27.64666748046875,273465.70847940445
44,2019-12-31,BUY,SNAP,17209,15.890000343322754,14.69257116317749
