,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,5068,39.45887756347656,800022.4085083008
1,2019-01-31,BUY,MSFT,1994,100.2683334350586,600087.351638794
2,2019-01-31,BUY,SNAP,30441,6.570000171661377,400089.97641324997
3,2019-01-31,BUY,TSLA,9715,20.584667205810547,200109.9345088005
4,2019-01-31,BUY,WMT,6960,28.735240936279297,112.65759229660034
5,2019-02-28,SELL,SNAP,7325,9.8100004196167,71970.91066598892
6,2019-02-28,BUY,AAPL,339,41.935054779052734,57754.927095890045
7,2019-02-28,BUY,MSFT,141,106.17723083496094,42783.93754816055
8,2019-02-28,BUY,TSLA,1092,20.982667922973633,19870.864176273346
9,2019-02-28,BUY,WMT,665,29.738550186157227,94.72830247879028
10,2019-03-29,SELL,AAPL,294,45.25638198852539,13400.104607105255
11,2019-03-29,SELL,MSFT,44,110.68291473388672,18270.15285539627
12,2019-03-29,SELL,SNAP,1670,10.789999961853027,36289.45279169083
13,2019-03-29,BUY,TSLA,1650,18.57466697692871,5641.252279758453
14,2019-03-29,BUY,WMT,190,29.59991455078125,17.26851511001587
15,2019-04-30,SELL,AAPL,259,49.066898345947266,12725.595186710358
16,2019-04-30,SELL,MSFT,152,122.83692932128906,31396.808443546295
17,2019-04-30,SELL,SNAP,219,11.220000267028809,33853.988502025604
18,2019-04-30,SELL,WMT,120,30.949934005737305,37567.98058271408
19,2019-04-30,BUY,TSLA,2333,16.097999572753906,11.34757947921753
20,2019-05-31,SELL,MSFT,62,119.45332336425781,7417.453628063202
21,2019-05-31,SELL,SNAP,2528,11.989999771118164,37728.17304944992
22,2019-05-31,SELL,WMT,533,31.307361602783203,54414.99678373337
23,2019-05-31,BUY,AAPL,369,42.92224884033203,38576.68696165085
24,2019-05-31,BUY,TSLA,3074,12.54800033569336,4.13392972946167
25,2019-06-28,SELL,SNAP,1278,14.579999923706055,18637.3738322258
26,2019-06-28,SELL,TSLA,766,14.855999946594238,30017.069791316986
27,2019-06-28,BUY,AAPL,59,48.0835075378418,27180.14284658432
28,2019-06-28,BUY,MSFT,115,127.45294952392578,12523.053651332855
29,2019-06-28,BUY,WMT,368,33.7307014465332,110.15551900863647
30,2019-07-31,SELL,SNAP,1345,16.93000030517578,22881.005929470062
31,2019-07-31,SELL,TSLA,246,16.150667190551758,26854.070058345795
32,2019-07-31,BUY,AAPL,133,50.25971603393555,20169.527825832367
33,2019-07-31,BUY,MSFT,49,133.3434600830078,13635.698281764984
34,2019-07-31,BUY,WMT,397,34.33116912841797,6.224137783050537
35,2019-08-30,SELL,AAPL,174,50.506256103515625,8794.31269979477
36,2019-08-30,SELL,MSFT,30,131.66177368164062,12744.165910243988
37,2019-08-30,SELL,WMT,391,35.122074127197266,26476.89689397812
38,2019-08-30,BUY,SNAP,697,15.779999732971191,15478.237080097198
39,2019-08-30,BUY,TSLA,1047,14.780667304992676,2.8784117698669434
40,2019-09-30,SELL,AAPL,45,52.876792907714844,2382.334092617035
41,2019-09-30,SELL,TSLA,880,16.142000198364258,16587.29426717758
42,2019-09-30,SELL,WMT,2,36.46747589111328,16660.22921895981
43,2019-09-30,BUY,MSFT,81,131.2899932861328,6025.7397627830505
44,2019-09-30,BUY,SNAP,375,16.020000457763672,18.239591121673584
45,2019-10-31,SELL,AAPL,160,58.7826042175293,9423.456265926361
46,2019-10-31,SELL,TSLA,2924,21.000667572021484,70829.40824651718
47,2019-10-31,BUY,MSFT,55,137.8483123779297,63247.75106573105
48,2019-10-31,BUY,SNAP,2771,14.859999656677246,22070.6920170784
49,2019-10-31,BUY,WMT,606,36.359710693359375,36.70733690261841
50,2019-11-29,SELL,AAPL,246,64.91653442382812,16006.174805164337
51,2019-11-29,SELL,MSFT,13,145.69186401367188,17900.16903734207
52,2019-11-29,SELL,TSLA,18,22.086000442504883,18297.71704530716
53,2019-11-29,BUY,SNAP,334,15.350000381469727,13170.81691789627
54,2019-11-29,BUY,WMT,360,36.56291580200195,8.167229175567627
55,2019-12-31,SELL,AAPL,20,70.6558837890625,1421.2849049568176
56,2019-12-31,SELL,TSLA,1887,27.64666748046875,53590.54644060135
57,2019-12-31,BUY,MSFT,101,150.73252868652344,38366.56104326248
58,2019-12-31,BUY,SNAP,955,15.890000343322754,23191.61071538925
59,2019-12-31,BUY,WMT,626,36.92483901977539,76.66148900985718
