,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,13206,39.45888137817383,478906.0125198364
1,2019-01-31,BUY,GOOGL,6307,54.70120620727539,133905.50497055054
2,2019-01-31,BUY,TSLA,6503,20.584667205810547,43.41413116455078
3,2019-02-28,SELL,AAPL,5392,41.9350471496582,226157.18836212158
4,2019-02-28,SELL,GOOGL,4387,55.941707611083984,471573.459651947
5,2019-02-28,BUY,TSLA,22474,20.982667922973633,8.980751037597656
6,2019-03-06,SELL,TSLA,28977,18.43600082397461,534228.9766273499
7,2019-03-29,BUY,GOOGL,9147,58.40178680419922,27.83272933959961
8,2019-03-29,BUY,TSLA,1,18.57466697692871,9.258062362670898
9,2019-04-26,SELL,TSLA,1,16.5086669921875,25.7667293548584
10,2019-04-30,SELL,AAPL,5176,49.0669059753418,253996.072057724
11,2019-04-30,SELL,GOOGL,9818,64.5759048461914,888002.3058376312
12,2019-04-30,BUY,TSLA,55162,16.097999572753906,4.453405380249023
13,2019-05-18,SELL,TSLA,55162,14.0686674118042,776060.2851753235
14,2019-05-31,BUY,AAPL,6897,42.92224884033203,480025.53492355347
15,2019-05-31,BUY,TSLA,38255,12.54800033569336,1.7820816040039062
16,2019-06-04,SELL,GOOGL,1249,51.74940872192383,64636.793575286865
17,2019-06-28,BUY,TSLA,4350,14.855999946594238,13.193807601928711
18,2019-07-31,BUY,TSLA,0,16.150667190551758,13.193807601928711
19,2019-08-16,SELL,TSLA,42605,14.37600040435791,612502.6910352707
20,2019-08-30,SELL,AAPL,2148,50.50624084472656,720990.0963697433
21,2019-08-30,BUY,TSLA,48779,14.780667304992676,3.9258995056152344
22,2019-09-30,BUY,AAPL,0,52.87678909301758,3.9258995056152344
23,2019-09-30,BUY,GOOGL,0,61.07609558105469,3.9258995056152344
24,2019-10-31,BUY,AAPL,0,58.78260040283203,3.9258995056152344
25,2019-10-31,BUY,TSLA,0,21.000667572021484,3.9258995056152344
26,2019-11-29,BUY,AAPL,0,64.91654968261719,3.9258995056152344
27,2019-11-29,BUY,TSLA,0,22.086000442504883,3.9258995056152344
28,2019-12-31,BUY,AAPL,0,70.65589141845703,3.9258995056152344
29,2019-12-31,BUY,TSLA,0,27.64666748046875,3.9258995056152344
