,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,511,39.45887756347656,979836.5135650635
1,2019-01-31,BUY,MSFT,345,100.2683334350586,945243.9385299683
2,2019-01-31,BUY,SNAP,33079,6.570000171661377,727914.9028515816
3,2019-01-31,BUY,TSLA,12280,20.584667205810547,475135.18956422806
4,2019-01-31,BUY,WMT,16533,28.735240936279297,55.45116472244263
5,2019-02-28,SELL,SNAP,7180,9.8100004196167,70491.25417757034
6,2019-02-28,SELL,TSLA,1150,20.982667922973633,94621.32228899002
7,2019-02-28,BUY,AAPL,150,41.935054779052734,88331.06407213211
8,2019-02-28,BUY,WMT,2970,29.738550186157227,7.570019245147705
9,2019-03-29,SELL,AAPL,30,45.25638198852539,1365.2614789009094
10,2019-03-29,BUY,SNAP,126,10.789999961853027,5.7214837074279785
11,2019-03-29,BUY,TSLA,0,18.57466697692871,5.7214837074279785
12,2019-03-29,BUY,WMT,0,29.59991455078125,5.7214837074279785
13,2019-04-30,SELL,AAPL,264,49.066898345947266,12959.382647037506
14,2019-04-30,SELL,TSLA,94,16.097999572753906,14472.594606876373
15,2019-04-30,BUY,SNAP,1289,11.220000267028809,10.014262676239014
16,2019-04-30,BUY,WMT,0,30.949934005737305,10.014262676239014
17,2019-05-31,SELL,AAPL,296,42.92224884033203,12714.99991941452
18,2019-05-31,SELL,SNAP,2316,11.989999771118164,40483.83938932419
19,2019-05-31,BUY,TSLA,3226,12.54800033569336,3.9903063774108887
20,2019-05-31,BUY,WMT,0,31.307361602783203,3.9903063774108887
21,2019-06-28,SELL,SNAP,3036,14.579999923706055,44268.87007474899
22,2019-06-28,BUY,AAPL,289,48.0835075378418,30372.736396312714
23,2019-06-28,BUY,TSLA,2044,14.855999946594238,7.072505474090576
24,2019-06-28,BUY,WMT,0,33.7307014465332,7.072505474090576
25,2019-07-31,SELL,SNAP,2704,16.93000030517578,45785.7933306694
26,2019-07-31,SELL,TSLA,1153,16.150667190551758,64407.51260137558
27,2019-07-31,BUY,AAPL,340,50.25971603393555,47319.209149837494
28,2019-07-31,BUY,WMT,1378,34.33116912841797,10.858090877532959
29,2019-08-30,SELL,WMT,1355,35.122074127197266,47601.26853322983
30,2019-08-30,BUY,AAPL,290,50.506256103515625,32954.4542632103
31,2019-08-30,BUY,SNAP,2088,15.779999732971191,5.814820766448975
32,2019-08-30,BUY,TSLA,0,14.780667304992676,5.814820766448975
33,2019-09-30,SELL,AAPL,367,52.876792907714844,19411.597817897797
34,2019-09-30,SELL,WMT,3537,36.46747589111328,148397.06004476547
35,2019-09-30,BUY,SNAP,9263,16.020000457763672,3.795804500579834
36,2019-09-30,BUY,TSLA,0,16.142000198364258,3.795804500579834
37,2019-10-31,SELL,WMT,147,36.359710693359375,5348.673276424408
38,2019-10-31,BUY,SNAP,359,14.859999656677246,13.933399677276611
39,2019-10-31,BUY,TSLA,0,21.000667572021484,13.933399677276611
40,2019-11-29,BUY,SNAP,0,15.350000381469727,13.933399677276611
41,2019-11-29,BUY,TSLA,0,22.086000442504883,13.933399677276611
42,2019-11-29,BUY,WMT,0,36.56291580200195,13.933399677276611
43,2019-12-31,SELL,TSLA,1681,27.64666748046875,46487.981434345245
44,2019-12-31,BUY,SNAP,2925,15.890000343322754,9.730430126190186
45,2019-12-31,BUY,WMT,0,36.92483901977539,9.730430126190186
