,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NFLX,2935,340.6600036621094,162.88925170898438
1,2019-04-30,SELL,NFLX,2935,371.8299865722656,1091483.8998413086
2,2019-04-30,BUY,META,5625,194.03878784179688,15.718231201171875
3,2019-06-04,SELL,META,5625,163.5253448486328,919845.7830047607
4,2019-06-28,BUY,META,4872,188.77890014648438,114.98149108886719
5,2019-09-30,SELL,META,4872,176.4260711669922,859662.8002166748
6,2019-09-30,BUY,AAPL,16257,52.87679672241211,44.71590042114258
7,2019-10-31,SELL,AAPL,16257,58.7825927734375,955673.3266181946
8,2019-10-31,BUY,NVDA,189238,5.050086975097656,4.967624664306641
9,2019-11-29,SELL,NVDA,189238,5.43322229385376,1028177.0880689621
10,2019-11-29,BUY,AAPL,15838,64.91654968261719,28.774195671081543
