,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,513,39.45887756347656,979757.5958099365
1,2019-01-31,BUY,MSFT,343,100.2683334350586,945365.5574417114
2,2019-01-31,BUY,SNAP,33043,6.570000171661377,728273.0417695045
3,2019-01-31,BUY,TSLA,12290,20.584667205810547,475287.4818100929
4,2019-01-31,BUY,WMT,16539,28.735240936279297,35.33196496963501
5,2019-02-28,SELL,AAPL,513,41.935054779052734,21548.015066623688
6,2019-02-28,SELL,MSFT,342,106.17723083496094,57860.62801218033
7,2019-02-28,SELL,SNAP,3023,9.8100004196167,87516.25928068161
8,2019-02-28,SELL,TSLA,1931,20.982667922973633,128033.7910399437
9,2019-02-28,BUY,WMT,4305,29.738550186157227,9.332488536834717
10,2019-03-29,SELL,SNAP,137,10.789999961853027,1487.5624833106995
11,2019-03-29,SELL,WMT,2632,29.59991455078125,79394.53758096695
12,2019-03-29,BUY,TSLA,4274,18.57466697692871,6.410921573638916
13,2019-04-30,SELL,SNAP,3163,11.220000267028809,35495.27176618576
14,2019-04-30,SELL,WMT,2373,30.949934005737305,108939.46516180038
15,2019-04-30,BUY,TSLA,6767,16.097999572753906,4.302052974700928
16,2019-05-31,SELL,SNAP,6160,11.989999771118164,73862.70064306259
17,2019-05-31,BUY,TSLA,3292,12.54800033569336,32554.683537960052
18,2019-05-31,BUY,WMT,1039,31.307361602783203,26.334832668304443
19,2019-06-28,SELL,MSFT,1,127.45294952392578,153.78778219223022
20,2019-06-28,SELL,SNAP,3696,14.579999923706055,54041.46750020981
21,2019-06-28,BUY,AAPL,143,48.0835075378418,47165.52592229843
22,2019-06-28,BUY,TSLA,2995,14.855999946594238,2671.8060822486877
23,2019-06-28,BUY,WMT,78,33.7307014465332,40.8113694190979
24,2019-07-31,SELL,SNAP,8953,16.93000030517578,151615.10410165787
25,2019-07-31,BUY,AAPL,474,50.25971603393555,127791.99870157242
26,2019-07-31,BUY,TSLA,3680,16.150667190551758,68357.54344034195
27,2019-07-31,BUY,WMT,1989,34.33116912841797,72.84804391860962
28,2019-08-30,SELL,WMT,6542,35.122074127197266,229841.45698404312
29,2019-08-30,BUY,AAPL,142,50.506256103515625,222669.5686173439
30,2019-08-30,BUY,SNAP,7369,15.779999732971191,106386.7505850792
31,2019-08-30,BUY,TSLA,7197,14.780667304992676,10.287991046905518
32,2019-09-30,SELL,AAPL,680,52.876792907714844,35966.507168293
33,2019-09-30,SELL,WMT,3087,36.46747589111328,148541.6052441597
34,2019-09-30,BUY,SNAP,6274,16.020000457763672,48032.12237215042
35,2019-09-30,BUY,TSLA,2975,16.142000198364258,9.67178201675415
36,2019-10-31,SELL,AAPL,78,58.7826042175293,4594.714910984039
37,2019-10-31,SELL,TSLA,1437,21.000667572021484,34772.67421197891
38,2019-10-31,SELL,WMT,9082,36.359710693359375,364991.56672906876
39,2019-10-31,BUY,SNAP,24562,14.859999656677246,0.25516176223754883
40,2019-11-29,SELL,TSLA,631,22.086000442504883,13936.521440982819
41,2019-11-29,SELL,WMT,234,36.56291580200195,22492.243738651276
42,2019-11-29,BUY,SNAP,1465,15.350000381469727,4.493179798126221
43,2019-12-31,SELL,AAPL,1,70.6558837890625,75.14906358718872
44,2019-12-31,SELL,TSLA,9891,27.64666748046875,273528.3371129036
45,2019-12-31,BUY,SNAP,17213,15.890000343322754,13.761203289031982
